variable,interval,clusters,time_steps,total_cells,data_points,nan_count,mean,min,max,check_no_nans,check_dims,check_stats,file_size_mb,status
cluster_counts_long,2015-2020,1421,6,8526,8526,0,0.18696523573256635,-1.201665512624183,12.948007634365393,PASS,PASS,PASS,0.08,SUCCESS
cluster_crime_main_y_long,1990-1995,1421,6,8526,8526,0,0.39478430495813543,-0.85655518809986,9.664912734462593,PASS,PASS,PASS,0.08,SUCCESS
cluster_crime_main_y_long,1995-2000,1421,6,8526,8526,0,0.11332217328848616,-0.85655518809986,11.747920112195331,PASS,PASS,PASS,0.08,SUCCESS
cluster_crime_main_y_long,2000-2005,1421,6,8526,8526,0,-0.011644502283529258,-0.85655518809986,11.747920112195331,PASS,PASS,PASS,0.08,SUCCESS
cluster_crime_main_y_long,2005-2010,1421,6,8526,8526,0,-0.03576812098037894,-0.85655518809986,10.957289574661738,PASS,PASS,PASS,0.08,SUCCESS
cluster_crime_main_y_long,2010-2015,1421,6,8526,8526,0,-0.1593170714099811,-0.85655518809986,10.493554355531456,PASS,PASS,PASS,0.08,SUCCESS
cluster_crime_main_y_long,2015-2020,1421,6,8526,8526,0,-0.2860108750328484,-0.85655518809986,9.17837086521115,PASS,PASS,PASS,0.08,SUCCESS
cluster_disp_inc_long,1990-1995,1421,6,8526,8526,0,-0.8659144021990823,-2.815228678846325,1.536335488075178,PASS,PASS,PASS,0.08,SUCCESS
cluster_disp_inc_long,1995-2000,1421,6,8526,8526,0,-0.4920336300909942,-2.62843130617792,2.1984465554652197,PASS,PASS,PASS,0.08,SUCCESS
cluster_disp_inc_long,2000-2005,1421,6,8526,8526,0,-0.12968593560791258,-2.5988977133820272,3.311011733668973,PASS,PASS,PASS,0.08,SUCCESS
cluster_disp_inc_long,2005-2010,1421,6,8526,8526,0,0.20410593184323794,-2.4661485255892672,3.5219617435356154,PASS,PASS,PASS,0.08,SUCCESS
cluster_disp_inc_long,2010-2015,1421,6,8526,8526,0,0.4384096698402831,-2.461520821252321,4.730113498109434,PASS,PASS,PASS,0.08,SUCCESS
cluster_disp_inc_long,2015-2020,1421,6,8526,8526,0,0.8599995492429948,-2.4368443924744367,5.564332850892691,PASS,PASS,PASS,0.08,SUCCESS
cluster_emp_long,1990-1995,1421,6,8526,8526,0,-0.4381528984184584,-5.614372103375345,1.8817081263620807,PASS,PASS,PASS,0.08,SUCCESS
cluster_emp_long,1995-2000,1421,6,8526,8526,0,-0.04182487154682567,-5.217602403368269,2.146221259700132,PASS,PASS,PASS,0.08,SUCCESS
cluster_emp_long,2000-2005,1421,6,8526,8526,0,0.14968098120380988,-5.096259315627177,2.1101512869722154,PASS,PASS,PASS,0.08,SUCCESS
cluster_emp_long,2005-2010,1421,6,8526,8526,0,0.1758801082459164,-5.096259315627177,2.1083015447810407,PASS,PASS,PASS,0.08,SUCCESS
cluster_emp_long,2010-2015,1421,6,8526,8526,0,-0.039403045707525945,-5.096259315627177,2.221135818442727,PASS,PASS,PASS,0.08,SUCCESS
cluster_emp_long,2015-2020,1421,6,8526,8526,0,0.2031356884430696,-5.096259315627177,2.162868939420709,PASS,PASS,PASS,0.08,SUCCESS
cluster_grund_long,1990-1995,1421,6,8526,8526,0,0.7169911896846719,-1.8428722296803477,4.53653872723765,PASS,PASS,PASS,0.08,SUCCESS
cluster_grund_long,1995-2000,1421,6,8526,8526,0,0.3643740296216746,-1.8428722296803477,4.191344420558616,PASS,PASS,PASS,0.08,SUCCESS
cluster_grund_long,2000-2005,1421,6,8526,8526,0,0.08862891657816807,-1.8601712609945589,3.6456386145557707,PASS,PASS,PASS,0.08,SUCCESS
cluster_grund_long,2005-2010,1421,6,8526,8526,0,-0.08988869032166592,-1.8593849413893677,3.497810528779784,PASS,PASS,PASS,0.08,SUCCESS
cluster_grund_long,2010-2015,1421,6,8526,8526,0,-0.35287478556313073,-1.903418839280087,2.786191286081548,PASS,PASS,PASS,0.08,SUCCESS
cluster_grund_long,2015-2020,1421,6,8526,8526,0,-0.5971091779720531,-1.875111333493196,2.555799641760461,PASS,PASS,PASS,0.08,SUCCESS
cluster_gym_erhv_long,1990-1995,1421,6,8526,8526,0,0.5110926532794193,-3.3157287449274446,6.565882110964408,PASS,PASS,PASS,0.08,SUCCESS
cluster_gym_erhv_long,1995-2000,1421,6,8526,8526,0,0.49106463354765983,-2.882393663674106,5.900824040642063,PASS,PASS,PASS,0.08,SUCCESS
cluster_gym_erhv_long,2000-2005,1421,6,8526,8526,0,0.256451061026227,-3.022474792659324,5.561749158332048,PASS,PASS,PASS,0.08,SUCCESS
cluster_gym_erhv_long,2005-2010,1421,6,8526,8526,0,-0.07575659346212063,-3.2869270174725402,4.5628528834187625,PASS,PASS,PASS,0.08,SUCCESS
cluster_gym_erhv_long,2010-2015,1421,6,8526,8526,0,-0.3392999543467887,-3.610291866625334,3.247137606501525,PASS,PASS,PASS,0.08,SUCCESS
cluster_gym_erhv_long,2015-2020,1421,6,8526,8526,0,-0.655487404173326,-3.610291866625334,2.9303186044975726,PASS,PASS,PASS,0.08,SUCCESS
cluster_lvu_long,1990-1995,1421,6,8526,8526,0,-0.8317460573137618,-2.1377345045788294,2.0544859592520854,PASS,PASS,PASS,0.08,SUCCESS
